street,traffic volume,accident count,crash_rate,latitude,longitude,risk level,Frequent_Day,Frequent_Hour,label
"MYERS ST, Los Angeles",757,20,2.64,34.0346901,-118.2252215,low,Sunday,20,12
"MYRA AV, Los Angeles",687,33,4.8,34.0910361,-118.2845284,low,Thursday,14,15
"N BROADWAY, Los Angeles",193184,37,0.02,34.0737243,-118.2097053,low,Wednesday,13,12
"N FIGUEROA ST, Los Angeles",64014,289,0.45,34.0595165,-118.2491895,low,Saturday,6,21
"N MAIN ST, Los Angeles",34378,196,0.57,34.0574514,-118.2386129,low,Thursday,7,21
"N SPRING ST, Los Angeles",146543,150,0.1,34.0700601,-118.2259445,low,Thursday,15,12
"NAOMI AV, Los Angeles",3160,41,1.3,34.0244122,-118.2469533,low,Friday,7,21
"NAPA ST, Los Angeles",1332,112,8.41,34.2264751,-118.4698491,low,Monday,14,16
"NASH DR, Los Angeles",30510,68,0.22,34.1063989,-118.3770299,low,Friday,16,6
"NEW HAMPSHIRE AV, Los Angeles",20111,829,4.12,34.0967508,-118.2928933,low,Saturday,16,15
"NICADA DR, Los Angeles",7256,314,4.33,34.1268162,-118.4471012,low,Saturday,10,16
"NOBLE AV, Los Angeles",185,5,2.7,34.2214517,-118.4618436,low,Sunday,16,16
"NOLDEN ST, Los Angeles",649,248,38.21,34.1303667,-118.1941987,medium,Saturday,18,0
"NORDHOFF ST, Los Angeles",138486,12,0.01,34.2353024,-118.4358634,low,Sunday,16,3
"NORDHOFF WY, Los Angeles",22265,2839,12.75,34.2354131,-118.5555325,low,Friday,16,14
"NORELLE ST, Los Angeles",284,41,14.44,34.0719253,-118.1830502,low,Friday,16,12
"NORMANDIE AV, Los Angeles",1063459,4,0.0,34.0473608,-118.2999948,low,Sunday,18,17
"NORRIS AV, Los Angeles",26142,3912,14.96,34.3180107,-118.4759143,low,Tuesday,8,3
"NORTON AV, Los Angeles",27584,97,0.35,34.1627578,-118.2769386,low,Saturday,19,15
"OAK GROVE DR, Los Angeles",1816,15,0.83,34.1326442,-118.1917018,low,Wednesday,8,0
"OAKWOOD AV, Los Angeles",3215,10,0.31,34.0776581,-118.3004374,low,Tuesday,14,6
"OCEAN AV, Los Angeles",36402,248,0.68,33.9874218,-118.4655552,low,Thursday,18,19
